id,value
bias.Lack of meaning.Information gaps are generalized.Group attribution error,https://en.wikipedia.org/wiki/Group_attribution_error
bias.Lack of meaning.Information gaps are generalized.Ultimate attribution error,https://en.wikipedia.org/wiki/Ultimate_attribution_error
bias.Lack of meaning.Information gaps are generalized.Stereotyping,https://en.wikipedia.org/wiki/Stereotype
bias.Lack of meaning.Information gaps are generalized.Essentialism,https://en.wikipedia.org/wiki/Essentialism
bias.Lack of meaning.Information gaps are generalized.Functional fixedness,https://en.wikipedia.org/wiki/Functional_fixedness
bias.Lack of meaning.Information gaps are generalized.Moral credential effect,https://en.wikipedia.org/wiki/Moral_credential_effect
bias.Lack of meaning.Information gaps are generalized.Just-world hypothesis,https://en.wikipedia.org/wiki/Just-world_hypothesis
bias.Lack of meaning.Information gaps are generalized.Argument from fallacy,https://en.wikipedia.org/wiki/Argument_from_fallacy
bias.Lack of meaning.Information gaps are generalized.Authority bias,https://en.wikipedia.org/wiki/Authority_bias
bias.Lack of meaning.Information gaps are generalized.Automation bias,https://en.wikipedia.org/wiki/Automation_bias
bias.Lack of meaning.Information gaps are generalized.Bandwagon effect,https://en.wikipedia.org/wiki/Bandwagon_effect
bias.Lack of meaning.Information gaps are generalized.Placebo effect,https://en.wikipedia.org/wiki/Placebo
bias.Lack of meaning.Familiar things imagined,
bias.Lack of meaning.Familiar things imagined.Halo effect,https://en.wikipedia.org/wiki/Halo_effect
bias.Lack of meaning.Familiar things imagined.In-group bias,https://en.wikipedia.org/wiki/In-group_favoritism
bias.Lack of meaning.Familiar things imagined.Out-group homogeneity bias,https://en.wikipedia.org/wiki/Out-group_homogeneity
bias.Lack of meaning.Familiar things imagined.Cross-race effect,https://en.wikipedia.org/wiki/Cross-race_effect
bias.Lack of meaning.Familiar things imagined.Cheerleader effect,https://en.wikipedia.org/wiki/Cheerleader_effect
bias.Lack of meaning.Familiar things imagined.Well-traveled road effect,https://en.wikipedia.org/wiki/Well_travelled_road_effect
bias.Lack of meaning.Familiar things imagined.Not invented here,https://en.wikipedia.org/wiki/Not_invented_here
bias.Lack of meaning.Familiar things imagined.Reactive devaluation,https://en.wikipedia.org/wiki/Reactive_devaluation
bias.Lack of meaning.Familiar things imagined.Positivity effect,https://en.wikipedia.org/wiki/Positivity_effect
bias.Lack of meaning.Probabilities are simplified,
bias.Lack of meaning.Probabilities are simplified.Mental accounting,https://en.wikipedia.org/wiki/Mental_accounting
bias.Lack of meaning.Probabilities are simplified.Normalcy bias,https://en.wikipedia.org/wiki/Normalcy_bias
bias.Lack of meaning.Probabilities are simplified.Appeal to probability fallacy,https://en.wikipedia.org/wiki/Appeal_to_probability
bias.Lack of meaning.Probabilities are simplified.Murphys Law,https://en.wikipedia.org/wiki/Murphy%27s_law
bias.Lack of meaning.Probabilities are simplified.Subadditivity effect,https://en.wikipedia.org/wiki/Subadditivity_effect
bias.Lack of meaning.Probabilities are simplified.Survivorship bias,https://en.wikipedia.org/wiki/Survivorship_bias
bias.Lack of meaning.Probabilities are simplified.Zero sum bias,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3153800/
bias.Lack of meaning.Probabilities are simplified.Denomination effect,https://en.wikipedia.org/wiki/Denomination_effect
bias.Lack of meaning.Probabilities are simplified.Magic number 7+-2,https://en.wikipedia.org/wiki/The_Magical_Number_Seven%2C_Plus_or_Minus_Two
bias.Lack of meaning.Knowing what others are thinking,
bias.Lack of meaning.Knowing what others are thinking.Curse of knowledge,https://en.wikipedia.org/wiki/Curse_of_knowledge
bias.Lack of meaning.Knowing what others are thinking.Illusion of transparency,https://en.wikipedia.org/wiki/Illusion_of_transparency
bias.Lack of meaning.Knowing what others are thinking.Spotlight effect,https://en.wikipedia.org/wiki/Spotlight_effect
bias.Lack of meaning.Knowing what others are thinking.Illusion of external agency,https://en.wikipedia.org/wiki/Illusion_of_external_agency
bias.Lack of meaning.Knowing what others are thinking.Illusion of asymmetric insight,https://en.wikipedia.org/wiki/Illusion_of_asymmetric_insight
bias.Lack of meaning.Knowing what others are thinking.Extrinsic incentive error,https://en.wikipedia.org/wiki/Extrinsic_incentives_bias
bias.Lack of meaning.Mindset projects past and future,
bias.Lack of meaning.Mindset projects past and future.Hindsight bias,https://en.wikipedia.org/wiki/Hindsight_bias
bias.Lack of meaning.Mindset projects past and future.Outcome bias,https://en.wikipedia.org/wiki/Outcome_bias
bias.Lack of meaning.Mindset projects past and future.Moral luck,https://en.wikipedia.org/wiki/Moral_luck
bias.Lack of meaning.Mindset projects past and future.Declinism,https://en.wikipedia.org/wiki/Declinism
bias.Lack of meaning.Mindset projects past and future.Telescoping effect,https://en.wikipedia.org/wiki/Telescoping_effect
bias.Lack of meaning.Mindset projects past and future.Rosy retrospection,https://en.wikipedia.org/wiki/Rosy_retrospection
bias.Lack of meaning.Mindset projects past and future.Impact bias,https://en.wikipedia.org/wiki/Impact_bias
bias.Lack of meaning.Mindset projects past and future.Pessimism bias,https://en.wikipedia.org/wiki/Optimism_bias#Pessimism_bias
bias.Lack of meaning.Mindset projects past and future.Planning fallacy,https://en.wikipedia.org/wiki/Planning_fallacy
bias.Lack of meaning.Mindset projects past and future.Time-saving bias,https://en.wikipedia.org/wiki/Time-saving_bias
bias.Lack of meaning.Mindset projects past and future.Pro-innovation bias,https://en.wikipedia.org/wiki/Pro-innovation_bias
bias.Lack of meaning.Mindset projects past and future.Projection bias,https://en.wikipedia.org/wiki/Affective_forecasting#Projection_bias
bias.Lack of meaning.Mindset projects past and future.Restraint bias,https://en.wikipedia.org/wiki/Restraint_bias
bias.Lack of meaning.Mindset projects past and future.Self-consistency bias,https://psychlopedia.wikispaces.com/self-consistency+bias
bias.Need for speed,
bias.Need for speed.Doing what matters,
bias.Need for speed.Doing what matters.Overconfidence effect,https://en.wikipedia.org/wiki/Overconfidence_effect
bias.Need for speed.Doing what matters.Egocentric bias,https://en.wikipedia.org/wiki/Egocentric_bias
bias.Need for speed.Doing what matters.Optimism bias,https://en.wikipedia.org/wiki/Optimism_bias
bias.Need for speed.Doing what matters.Social desirability bias,https://en.wikipedia.org/wiki/Social_desirability_bias
bias.Need for speed.Doing what matters.Third-person effect,https://en.wikipedia.org/wiki/Third-person_effect
bias.Need for speed.Doing what matters.Barnum effect,https://en.wikipedia.org/wiki/Barnum_effect
bias.Need for speed.Doing what matters.Illusion of control,https://en.wikipedia.org/wiki/Illusion_of_control
bias.Need for speed.Doing what matters.False consensus effect,https://en.wikipedia.org/wiki/False-consensus_effect
bias.Need for speed.Doing what matters.Dunning-Kruger effect,https://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect
bias.Need for speed.Doing what matters.Hard-easy effect,https://en.wikipedia.org/wiki/Hard%E2%80%93easy_effect
bias.Need for speed.Doing what matters.Illusory superiority,https://en.wikipedia.org/wiki/Illusory_superiority
bias.Need for speed.Doing what matters.Lake Wobegone effect,https://en.wikipedia.org/wiki/Lake_Wobegon#The_Lake_Wobegon_effect
bias.Need for speed.Doing what matters.Self-serving bias,https://en.wikipedia.org/wiki/Self-serving_bias
bias.Need for speed.Doing what matters.Fundamental attribution error,https://en.wikipedia.org/wiki/Fundamental_attribution_error
bias.Need for speed.Doing what matters.Defensive attribution hypothesis,https://en.wikipedia.org/wiki/Defensive_attribution_hypothesis
bias.Need for speed.Doing what matters.Trait ascription bias,https://en.wikipedia.org/wiki/Trait_ascription_bias
bias.Need for speed.Doing what matters.Effort justification,https://en.wikipedia.org/wiki/Effort_justification
bias.Need for speed.Doing what matters.Risk compensation,https://en.wikipedia.org/wiki/Risk_compensation
bias.Need for speed.Immediate is favored over delayed,
bias.Need for speed.Immediate is favored over delayed.Hyperbolic discounting,https://en.wikipedia.org/wiki/Hyperbolic_discounting
bias.Need for speed.Immediate is favored over delayed.Appeal to novelty,https://en.wikipedia.org/wiki/Appeal_to_novelty
bias.Need for speed.Immediate is favored over delayed.Identifiable victim effect,https://en.wikipedia.org/wiki/Identifiable_victim_effect
bias.Need for speed.Interest motivates completion,
bias.Need for speed.Interest motivates completion.Sunk cost fallacy,https://en.wikipedia.org/wiki/Sunk_costs
bias.Need for speed.Interest motivates completion.Escalation of commitment,https://en.wikipedia.org/wiki/Escalation_of_commitment
bias.Need for speed.Interest motivates completion.Loss aversion,https://en.wikipedia.org/wiki/Loss_aversion
bias.Need for speed.Interest motivates completion.IKEA effect,https://en.wikipedia.org/wiki/IKEA_effect
bias.Need for speed.Interest motivates completion.Generation effect,https://en.wikipedia.org/wiki/Generation_effect
bias.Need for speed.Interest motivates completion.Zero-risk bias,https://en.wikipedia.org/wiki/Zero-risk_bias
bias.Need for speed.Interest motivates completion.Disposition effect,https://en.wikipedia.org/wiki/Disposition_effect
bias.Need for speed.Interest motivates completion.Unit bias,http://www.alleydog.com/glossary/definition.php?term=Unit%20Bias
bias.Need for speed.Interest motivates completion.Pseudocertainty effect,https://en.wikipedia.org/wiki/Pseudocertainty_effect
bias.Need for speed.Interest motivates completion.Endowment effect,https://en.wikipedia.org/wiki/Endowment_effect
bias.Need for speed.Interest motivates completion.Backfire effect,https://en.wikipedia.org/wiki/Confirmation_bias#backfire_effect
bias.Need for speed.Motivated to preserve autonomy and status,
bias.Need for speed.Motivated to preserve autonomy and status.Reactance,https://en.wikipedia.org/wiki/Reactance_%28psychology%29
bias.Need for speed.Motivated to preserve autonomy and status.Reverse psychology,https://en.wikipedia.org/wiki/Reverse_psychology
bias.Need for speed.Motivated to preserve autonomy and status.Decoy effect,https://en.wikipedia.org/wiki/Decoy_effect
bias.Need for speed.Motivated to preserve autonomy and status.Social comparison bias,https://en.wikipedia.org/wiki/Social_comparison_bias
bias.Need for speed.Motivated to preserve autonomy and status.Status quo bias,https://en.wikipedia.org/wiki/Status_quo_bias
bias.Need for speed.Simple complete over complex ambiguous,
bias.Need for speed.Simple complete over complex ambiguous.Ambiguity bias,https://en.wikipedia.org/wiki/Ambiguity_effect
bias.Need for speed.Simple complete over complex ambiguous.Information bias,https://en.wikipedia.org/wiki/Information_bias_%28psychology%29
bias.Need for speed.Simple complete over complex ambiguous.Belief bias,https://en.wikipedia.org/wiki/Belief_bias
bias.Need for speed.Simple complete over complex ambiguous.Rhyme as reason effect,https://en.wikipedia.org/wiki/Rhyme-as-reason_effect
bias.Need for speed.Simple complete over complex ambiguous.Law of Triviality,https://en.wikipedia.org/wiki/Law_of_triviality
bias.Need for speed.Simple complete over complex ambiguous.Delmore effect,http://www-psych.stanford.edu/~wit/abstract.html
bias.Need for speed.Simple complete over complex ambiguous.Conjunction fallacy,https://en.wikipedia.org/wiki/Conjunction_fallacy
bias.Need for speed.Simple complete over complex ambiguous.Occams razor,https://en.wikipedia.org/wiki/Occam%27s_razor
bias.Need for speed.Simple complete over complex ambiguous.Less-is-better effect,https://en.wikipedia.org/wiki/Less-is-better_effect
bias.What to remember,
bias.What to remember.Memories reinforced after the fact,
bias.What to remember.Memories reinforced after the fact.Misattribution of memory,https://en.wikipedia.org/wiki/Misattribution_of_memory
bias.What to remember.Memories reinforced after the fact.Cryptomnesia,https://en.wikipedia.org/wiki/Cryptomnesia
bias.What to remember.Memories reinforced after the fact.False memory,https://en.wikipedia.org/wiki/Confabulation
bias.What to remember.Memories reinforced after the fact.Suggestibility,https://en.wikipedia.org/wiki/Suggestibility#External
bias.What to remember.Memories reinforced after the fact.Spacing effect,https://en.wikipedia.org/wiki/Spacing_effect
bias.What to remember.Specifics discarded to form generalities,
bias.What to remember.Specifics discarded to form generalities.Implicit associations,https://en.wikipedia.org/wiki/Implicit_stereotype
bias.What to remember.Specifics discarded to form generalities.Prejudice,https://en.wikipedia.org/wiki/Prejudice
bias.What to remember.Specifics discarded to form generalities.Negativity bias,https://en.wikipedia.org/wiki/Negativity_bias
bias.What to remember.Specifics discarded to form generalities.Fading affect bias,https://en.wikipedia.org/wiki/Fading_affect_bias
bias.What to remember.Events and lists reduced to their key elements,
bias.What to remember.Events and lists reduced to their key elements.Peak_end_rule,https://en.wikipedia.org/wiki/Peak%E2%80%93end_rule
bias.What to remember.Events and lists reduced to their key elements.Leveling and sharpening,https://en.wikipedia.org/wiki/Leveling_and_sharpening
bias.What to remember.Events and lists reduced to their key elements.Misinformation effect,https://en.wikipedia.org/wiki/Misinformation_effect
bias.What to remember.Events and lists reduced to their key elements.Duration neglect,https://en.wikipedia.org/wiki/Duration_neglect
bias.What to remember.Events and lists reduced to their key elements.Serial recall effect,https://en.wikipedia.org/wiki/Recall_%28memory%29#Serial_recall
bias.What to remember.Events and lists reduced to their key elements.Modality effect,https://en.wikipedia.org/wiki/Modality_effect
bias.What to remember.Events and lists reduced to their key elements.Memory inhibition,https://en.wikipedia.org/wiki/Memory_inhibition
bias.What to remember.Events and lists reduced to their key elements.Primacy effect,https://en.wikipedia.org/wiki/Serial_position_effect#Primacy_effect
bias.What to remember.Events and lists reduced to their key elements.Recency effect,https://en.wikipedia.org/wiki/Serial_position_effect#Recency_effect
bias.What to remember.Events and lists reduced to their key elements.Serial position effect,https://en.wikipedia.org/wiki/Serial_position_effect
bias.What to remember.Events and lists reduced to their key elements.Suffix effect,https://coglab.cengage.com/labs/suffix_effect.shtml
bias.What to remember.Memories stored differently via experience,
bias.What to remember.Memories stored differently via experience.Levels of processing effect,https://en.wikipedia.org/wiki/Levels-of-processing_effect
bias.What to remember.Memories stored differently via experience.Testing effect,https://en.wikipedia.org/wiki/Testing_effect
bias.What to remember.Memories stored differently via experience.Absent-mindedness,https://en.wikipedia.org/wiki/Absent-mindedness
bias.What to remember.Memories stored differently via experience.Next-in-line effect,http://www.oxfordreference.com/view/10.1093/oi/authority.20110803100232913
bias.What to remember.Memories stored differently via experience.Tip of the tongue phenomenon,https://en.wikipedia.org/wiki/Tip_of_the_tongue
bias.What to remember.Memories stored differently via experience.Google effect,https://en.wikipedia.org/wiki/Google_effect
